weight,valid,avg_day,min_day,worst_day,streak
1.0,True,1417.6272,1417.6272,-1000.0,3
1.001,True,1417.6272,1417.6272,-1000.0,3
1.002,True,1417.6273,1417.6273,-1000.0,3
1.003,True,1417.6273,1417.6273,-1000.0,3
1.004,True,1417.6274,1417.6274,-1000.0,3
1.005,True,1417.6274,1417.6274,-1000.0,3
1.006,True,1417.6274,1417.6274,-1000.0,3
1.007,True,1417.6275,1417.6275,-1000.0,3
1.008,True,1417.6275,1417.6275,-1000.0,3
1.009,True,1417.6275,1417.6275,-1000.0,3
1.01,True,1417.6276,1417.6276,-1000.0,3
1.011,True,1417.6276,1417.6276,-1000.0,3
1.012,True,1417.6276,1417.6276,-1000.0,3
1.013,True,1417.6277,1417.6277,-1000.0,3
1.014,True,1417.6277,1417.6277,-1000.0,3
1.015,True,1417.6277,1417.6277,-1000.0,3
1.016,True,1417.6278,1417.6278,-1000.0,3
1.017,True,1417.6278,1417.6278,-1000.0,3
1.018,True,1417.6278,1417.6278,-1000.0,3
1.019,True,1417.6279,1417.6279,-1000.0,3
1.02,True,1417.6279,1417.6279,-1000.0,3
1.021,True,1417.6279,1417.6279,-1000.0,3
1.022,True,1417.628,1417.628,-1000.0,3
1.023,True,1417.628,1417.628,-1000.0,3
1.024,True,1417.628,1417.628,-1000.0,3
1.025,True,1417.6281,1417.6281,-1000.0,3
1.026,True,1417.6281,1417.6281,-1000.0,3
1.027,True,1417.6281,1417.6281,-1000.0,3
1.028,True,1417.6282,1417.6282,-1000.0,3
1.029,True,1417.6282,1417.6282,-1000.0,3
1.03,True,1417.6282,1417.6282,-1000.0,3
1.031,True,1417.6283,1417.6283,-1000.0,3
1.032,True,1417.6283,1417.6283,-1000.0,3
1.033,True,1417.6284,1417.6284,-1000.0,3
1.034,True,1417.6284,1417.6284,-1000.0,3
1.035,True,1417.6284,1417.6284,-1000.0,3
1.036,True,1417.6285,1417.6285,-1000.0,3
1.037,True,1417.6285,1417.6285,-1000.0,3
1.038,True,1417.6285,1417.6285,-1000.0,3
1.039,True,1417.6286,1417.6286,-1000.0,3
1.04,True,1417.6286,1417.6286,-1000.0,3
1.041,True,1417.6286,1417.6286,-1000.0,3
1.042,True,1417.6287,1417.6287,-1000.0,3
1.043,True,1417.6287,1417.6287,-1000.0,3
1.044,True,1417.6287,1417.6287,-1000.0,3
1.045,True,1417.6288,1417.6288,-1000.0,3
1.046,True,1417.6288,1417.6288,-1000.0,3
1.047,True,1417.6288,1417.6288,-1000.0,3
1.048,True,1417.6289,1417.6289,-1000.0,3
1.049,True,1417.6289,1417.6289,-1000.0,3
1.05,True,1417.6289,1417.6289,-1000.0,3
1.051,True,1417.629,1417.629,-1000.0,3
1.052,True,1417.629,1417.629,-1000.0,3
1.053,True,1417.629,1417.629,-1000.0,3
1.054,True,1417.6291,1417.6291,-1000.0,3
1.055,True,1417.6291,1417.6291,-1000.0,3
1.056,True,1417.6291,1417.6291,-1000.0,3
1.057,True,1417.6292,1417.6292,-1000.0,3
1.058,True,1417.6292,1417.6292,-1000.0,3
1.059,True,1417.6292,1417.6292,-1000.0,3
1.06,True,1417.6293,1417.6293,-1000.0,3
1.061,True,1417.6293,1417.6293,-1000.0,3
1.062,True,1417.6294,1417.6294,-1000.0,3
1.063,True,1417.6294,1417.6294,-1000.0,3
1.064,True,1417.6294,1417.6294,-1000.0,3
1.065,True,1417.6295,1417.6295,-1000.0,3
1.066,True,1417.6295,1417.6295,-1000.0,3
1.067,True,1417.6295,1417.6295,-1000.0,3
1.068,True,1417.6296,1417.6296,-1000.0,3
1.069,True,1417.6296,1417.6296,-1000.0,3
1.07,True,1417.6296,1417.6296,-1000.0,3
1.071,True,1417.6297,1417.6297,-1000.0,3
1.072,True,1417.6297,1417.6297,-1000.0,3
1.073,True,1417.6297,1417.6297,-1000.0,3
1.074,True,1417.6298,1417.6298,-1000.0,3
1.075,True,1417.6298,1417.6298,-1000.0,3
1.076,True,1417.6298,1417.6298,-1000.0,3
1.077,True,1417.6299,1417.6299,-1000.0,3
1.078,True,1417.6299,1417.6299,-1000.0,3
1.079,True,1417.6299,1417.6299,-1000.0,3
1.08,True,1417.63,1417.63,-1000.0,3
1.081,True,1417.63,1417.63,-1000.0,3
1.082,True,1417.63,1417.63,-1000.0,3
1.083,True,1417.6301,1417.6301,-1000.0,3
1.084,True,1417.6301,1417.6301,-1000.0,3
1.085,True,1417.6301,1417.6301,-1000.0,3
1.086,True,1417.6302,1417.6302,-1000.0,3
1.087,True,1417.6302,1417.6302,-1000.0,3
1.088,True,1417.6302,1417.6302,-1000.0,3
1.089,True,1417.6303,1417.6303,-1000.0,3
1.09,True,1417.6303,1417.6303,-1000.0,3
1.091,True,1417.6304,1417.6304,-1000.0,3
1.092,True,1417.6304,1417.6304,-1000.0,3
1.093,True,1417.6304,1417.6304,-1000.0,3
1.094,True,1417.6305,1417.6305,-1000.0,3
1.095,True,1417.6305,1417.6305,-1000.0,3
1.096,True,1417.6305,1417.6305,-1000.0,3
1.097,True,1417.6306,1417.6306,-1000.0,3
1.098,True,1417.6306,1417.6306,-1000.0,3
1.099,True,1417.6306,1417.6306,-1000.0,3
1.1,True,1417.6307,1417.6307,-1000.0,3
1.101,True,1417.6307,1417.6307,-1000.0,3
1.102,True,1417.6307,1417.6307,-1000.0,3
1.103,True,1417.6308,1417.6308,-1000.0,3
1.104,True,1417.6308,1417.6308,-1000.0,3
1.105,True,1417.6308,1417.6308,-1000.0,3
1.106,True,1417.6309,1417.6309,-1000.0,3
1.107,True,1417.6309,1417.6309,-1000.0,3
1.108,True,1417.6309,1417.6309,-1000.0,3
1.109,True,1417.631,1417.631,-1000.0,3
1.11,True,1417.631,1417.631,-1000.0,3
1.111,True,1417.631,1417.631,-1000.0,3
1.112,True,1417.6311,1417.6311,-1000.0,3
1.113,True,1417.6311,1417.6311,-1000.0,3
1.114,True,1417.6311,1417.6311,-1000.0,3
1.115,True,1417.6312,1417.6312,-1000.0,3
1.116,True,1417.6312,1417.6312,-1000.0,3
1.117,True,1417.6312,1417.6312,-1000.0,3
1.118,True,1417.6313,1417.6313,-1000.0,3
1.119,True,1417.6313,1417.6313,-1000.0,3
1.12,True,1417.6314,1417.6314,-1000.0,3
1.121,True,1417.6314,1417.6314,-1000.0,3
1.122,True,1417.6314,1417.6314,-1000.0,3
1.123,True,1417.6315,1417.6315,-1000.0,3
1.124,True,1417.6315,1417.6315,-1000.0,3
1.125,True,1417.6315,1417.6315,-1000.0,3
1.126,True,1417.6316,1417.6316,-1000.0,3
1.127,True,1417.6316,1417.6316,-1000.0,3
1.128,True,1417.6316,1417.6316,-1000.0,3
1.129,True,1417.6317,1417.6317,-1000.0,3
1.13,True,1417.6317,1417.6317,-1000.0,3
1.131,True,1417.6317,1417.6317,-1000.0,3
1.132,True,1417.6318,1417.6318,-1000.0,3
1.133,True,1417.6318,1417.6318,-1000.0,3
1.134,True,1417.6318,1417.6318,-1000.0,3
1.135,True,1417.6319,1417.6319,-1000.0,3
1.136,True,1417.6319,1417.6319,-1000.0,3
1.137,True,1417.6319,1417.6319,-1000.0,3
1.138,True,1417.632,1417.632,-1000.0,3
1.139,True,1417.632,1417.632,-1000.0,3
1.14,True,1417.632,1417.632,-1000.0,3
1.141,True,1417.6321,1417.6321,-1000.0,3
1.142,True,1417.6321,1417.6321,-1000.0,3
1.143,True,1417.6321,1417.6321,-1000.0,3
1.144,True,1417.6322,1417.6322,-1000.0,3
